,p,T,Tdew,rh,VPmax,VPact,VPdef,sh,H2OC,rho,wv,max_wv,wd,TMax,TMin
2010-04-24,993.654,10.385,0.574,53.565,13.526,6.402,7.124,4.017,6.442,1218.380,1.738,2.862,103.007,18.070,0.080
2010-04-25,996.186,13.808,3.519,52.898,16.959,7.933,9.025,4.969,7.964,1206.288,1.423,2.568,143.667,21.880,3.110
2010-04-26,994.851,12.099,6.481,69.330,14.313,9.725,4.588,6.103,9.775,1210.524,1.603,3.098,226.118,16.880,7.280
2010-04-27,999.146,12.126,5.406,64.964,14.339,9.007,5.332,5.627,9.015,1215.987,1.934,3.701,255.289,16.190,6.820
2010-04-28,998.343,12.295,3.862,60.617,15.292,8.083,7.208,5.053,8.098,1215.205,1.402,2.464,151.591,20.830,2.610
2010-04-29,988.149,16.264,4.949,51.540,20.064,8.717,11.346,5.507,8.824,1186.170,2.416,3.791,199.750,24.630,5.300
2010-04-30,981.891,16.898,7.778,56.899,19.805,10.616,9.189,6.752,10.811,1174.655,3.135,5.421,205.824,21.990,11.030
2010-05-01,983.590,12.572,8.339,75.908,14.630,11.013,3.617,6.995,11.197,1194.131,1.673,2.765,216.984,14.780,9.700
2010-05-02,983.496,10.153,7.889,86.074,12.452,10.685,1.767,6.786,10.865,1204.358,1.957,2.829,75.717,12.620,8.040
2010-05-03,983.313,10.737,7.749,82.900,13.037,10.575,2.462,6.717,10.755,1201.765,1.834,3.115,186.885,14.910,7.650
2010-05-04,990.491,7.725,5.396,85.629,10.545,9.056,1.488,5.708,9.144,1224.195,2.498,3.868,63.830,8.680,5.420
2010-05-05,989.532,6.509,-0.907,59.727,9.883,5.740,4.143,3.617,5.803,1230.064,4.010,6.510,48.396,10.780,1.230
2010-05-06,976.428,5.302,4.750,96.269,8.917,8.584,0.333,5.487,8.792,1217.476,4.001,5.762,37.117,6.130,4.430
2010-05-07,979.075,6.528,4.314,86.168,9.733,8.322,1.410,5.305,8.501,1215.565,2.276,3.394,189.467,8.960,4.980
2010-05-08,983.273,9.422,4.116,71.209,12.046,8.215,3.830,5.213,8.355,1208.471,1.791,3.000,201.235,14.270,4.580
2010-05-09,982.102,10.063,5.987,78.721,12.711,9.456,3.255,6.013,9.631,1203.813,1.227,2.059,192.447,16.720,3.980
2010-05-10,981.319,8.316,6.935,91.060,10.976,9.993,0.983,6.359,10.184,1209.831,2.478,3.604,46.964,9.230,7.400
2010-05-11,981.139,8.674,7.328,91.422,11.287,10.270,1.017,6.537,10.468,1207.973,3.077,4.543,40.681,11.210,6.770
2010-05-12,980.156,10.532,6.404,76.988,12.859,9.663,3.196,6.156,9.860,1199.164,2.657,4.303,210.832,14.250,7.220
2010-05-13,984.088,7.561,3.910,77.688,10.432,8.087,2.346,5.128,8.218,1217.415,1.467,2.528,119.794,9.200,6.500
2010-05-14,983.881,6.845,4.575,85.679,9.936,8.480,1.456,5.379,8.619,1220.095,1.152,2.178,161.121,8.590,5.570
2010-05-15,983.203,5.677,3.640,86.864,9.155,7.940,1.215,5.039,8.076,1224.607,1.499,2.969,254.597,7.510,4.910
2010-05-16,986.036,9.669,2.945,64.150,12.205,7.559,4.646,4.782,7.666,1211.083,2.215,4.221,259.237,13.800,5.510
2010-05-17,992.220,10.387,4.460,68.521,13.015,8.443,4.572,5.310,8.508,1215.354,1.401,2.856,211.975,15.460,2.710
2010-05-18,996.119,9.252,3.255,66.898,11.727,7.750,3.978,4.854,7.781,1225.138,1.778,3.802,265.057,11.720,7.050
2010-05-19,994.271,7.248,5.967,91.687,10.233,9.399,0.834,5.901,9.453,1230.830,2.248,4.211,231.379,9.290,5.170
2010-05-20,998.776,9.747,9.031,95.310,12.106,11.527,0.579,7.210,11.540,1224.496,1.620,2.794,229.502,11.810,8.630
2010-05-21,1000.015,13.203,8.628,75.196,15.601,11.236,4.364,7.019,11.236,1211.569,1.092,2.025,159.749,20.850,8.760
2010-05-22,997.028,13.694,8.798,75.606,16.378,11.403,4.975,7.146,11.438,1205.941,2.069,3.407,141.183,20.370,6.670
2010-05-23,993.486,16.734,11.220,71.785,19.494,13.353,6.142,8.403,13.440,1187.978,1.481,2.753,230.496,22.860,12.140
2010-05-24,985.257,16.534,11.376,72.877,19.227,13.525,5.702,8.585,13.730,1178.822,1.815,3.237,223.247,22.960,11.210
2010-05-25,984.275,14.097,8.050,69.206,16.359,10.818,5.541,6.866,10.991,1188.796,1.623,3.314,182.504,19.010,10.350
2010-05-26,982.402,10.880,6.343,74.314,13.141,9.720,3.420,6.180,9.898,1200.432,2.135,3.337,108.727,14.630,7.390
2010-05-27,981.679,12.006,8.991,82.847,14.140,11.509,2.631,7.326,11.725,1193.948,1.048,2.151,227.201,15.960,9.470
2010-05-28,985.993,12.902,9.835,82.089,15.043,12.207,2.835,7.738,12.381,1195.176,1.240,2.158,217.891,16.480,9.210
2010-05-29,991.137,13.702,6.909,67.645,16.387,9.986,6.401,6.291,10.076,1199.411,1.474,2.478,179.430,20.430,6.370
2010-05-30,980.565,13.089,9.649,80.350,15.244,12.035,3.208,7.671,12.275,1187.885,2.557,4.202,213.460,18.660,8.930
2010-05-31,982.748,9.136,6.457,83.701,11.684,9.704,1.979,6.164,9.872,1208.258,2.502,4.663,254.790,12.610,6.380
2010-06-01,985.703,9.697,8.515,92.385,12.056,11.127,0.929,7.052,11.289,1208.798,2.042,3.563,233.836,10.990,8.460
2010-06-02,987.239,10.763,9.082,89.892,13.044,11.592,1.450,7.336,11.742,1205.975,1.497,3.241,200.569,13.630,8.370
2010-06-03,990.327,15.630,8.147,61.765,18.090,10.865,7.224,6.853,10.971,1189.786,3.148,5.543,86.010,20.570,11.980
2010-06-04,993.173,15.742,8.759,64.538,18.462,11.347,7.115,7.137,11.425,1192.655,1.486,2.704,173.847,22.330,7.900
2010-06-05,992.909,18.142,10.831,65.340,22.066,13.091,8.976,8.244,13.187,1182.002,1.420,2.443,142.517,25.800,8.130
2010-06-06,985.977,20.895,12.850,63.343,25.998,14.898,11.099,9.455,15.113,1161.868,1.776,3.016,178.219,28.530,11.670
2010-06-07,983.999,18.392,11.629,65.798,21.306,13.779,7.527,8.758,14.005,1169.550,2.178,4.039,239.837,21.400,14.320
2010-06-08,982.270,19.185,11.306,63.563,23.352,13.482,9.868,8.584,13.728,1164.850,1.733,2.932,197.428,26.840,10.300
2010-06-09,980.871,22.766,14.318,61.147,28.621,16.376,12.246,10.451,16.695,1147.651,2.060,3.348,156.821,29.690,16.100
2010-06-10,980.076,23.382,16.441,66.532,29.396,18.765,10.632,11.996,19.146,1143.177,1.742,2.908,121.968,29.180,17.460
2010-06-11,980.515,21.402,14.258,65.218,25.752,16.361,9.391,10.447,16.688,1152.346,3.126,5.143,219.358,24.990,17.460
2010-06-12,983.886,16.527,11.942,74.577,19.038,14.101,4.936,8.966,14.335,1176.863,1.518,2.612,194.480,21.080,11.730
2010-06-13,988.630,13.772,7.526,67.223,15.916,10.418,5.498,6.581,10.538,1195.571,2.234,3.864,141.088,18.410,10.060
2010-06-14,989.065,13.767,8.137,69.093,15.884,10.890,4.995,6.876,11.008,1195.888,1.497,2.370,147.565,16.770,10.630
2010-06-15,993.441,14.703,9.486,71.698,16.933,11.901,5.031,7.486,11.980,1196.862,2.574,4.037,48.922,19.070,11.140
2010-06-16,994.378,14.370,5.824,57.397,16.704,9.253,7.451,5.809,9.306,1200.679,3.996,6.162,58.598,19.390,8.890
2010-06-17,990.587,16.428,7.067,54.926,19.096,10.084,9.012,6.357,10.181,1187.231,3.625,5.539,96.609,21.520,10.650
2010-06-18,982.956,16.227,8.676,62.045,18.798,11.262,7.535,7.158,11.458,1178.293,2.361,4.435,138.287,21.920,11.530
2010-06-19,980.309,11.687,4.271,61.424,13.867,8.310,5.556,5.289,8.477,1195.118,2.000,3.634,244.262,15.980,8.560
2010-06-20,984.927,12.194,5.147,63.039,14.404,8.827,5.577,5.592,8.961,1198.410,1.738,3.245,204.467,17.100,7.710
2010-06-21,991.991,11.771,6.285,69.823,13.995,9.550,4.444,6.010,9.628,1208.492,1.438,2.688,136.187,15.110,8.120
2010-06-22,995.682,13.499,6.664,65.121,16.087,9.849,6.238,6.176,9.891,1205.787,1.424,2.580,154.202,19.230,5.170
2010-06-23,995.272,15.645,8.117,63.205,18.416,10.842,7.574,6.804,10.894,1195.873,1.499,2.590,121.164,21.330,7.180
2010-06-24,991.400,19.071,9.808,57.000,22.723,12.158,10.565,7.664,12.264,1176.588,1.326,2.487,192.276,24.820,11.730
2010-06-25,988.506,18.647,12.052,67.034,22.211,14.153,8.059,8.954,14.318,1173.973,1.818,3.115,164.403,25.580,11.590
2010-06-26,990.868,18.422,9.699,57.594,21.481,12.055,9.427,7.602,12.166,1178.464,2.025,3.447,105.978,23.260,14.140
2010-06-27,993.392,18.653,10.047,59.618,22.375,12.350,10.025,7.770,12.432,1180.648,1.853,3.117,105.645,24.660,9.900
2010-06-28,992.555,20.569,10.490,55.031,25.409,12.730,12.680,8.016,12.825,1171.881,1.730,2.812,113.237,26.670,10.770
2010-06-29,991.147,22.128,11.966,54.989,27.998,14.056,13.942,8.870,14.183,1163.458,1.522,2.707,172.365,29.200,12.630
2010-06-30,991.968,21.987,13.655,60.379,26.903,15.673,11.230,9.886,15.799,1163.962,1.663,2.943,123.083,27.590,17.050
2010-07-01,990.429,22.532,13.745,60.308,28.276,15.764,12.512,9.960,15.917,1160.118,1.437,2.491,138.181,29.030,14.500
2010-07-02,990.136,24.477,13.924,54.659,31.927,15.950,15.977,10.081,16.108,1152.157,1.855,3.094,120.267,30.610,15.830
2010-07-03,990.145,25.763,13.682,49.261,34.244,15.686,18.557,9.914,15.842,1147.273,1.991,3.229,125.048,31.300,17.730
2010-07-04,991.061,21.899,16.232,70.836,26.706,18.632,8.073,11.779,18.799,1161.902,1.689,2.962,130.158,27.140,17.430
2010-07-05,990.858,20.662,16.398,78.458,24.830,18.713,6.117,11.832,18.886,1166.538,1.259,2.264,166.487,27.620,16.690
2010-07-06,994.329,16.131,10.712,71.885,18.494,13.024,5.470,8.190,13.101,1191.482,1.505,2.905,246.801,19.940,11.380
2010-07-07,996.159,17.121,8.841,61.167,20.301,11.379,8.922,7.136,11.423,1190.631,1.288,2.387,173.480,23.980,8.960
2010-07-08,994.285,21.297,11.345,56.303,26.724,13.479,13.244,8.477,13.558,1170.749,1.595,2.626,132.963,29.490,12.300
2010-07-09,992.833,24.863,12.982,51.989,33.444,14.998,18.447,9.449,15.106,1154.454,1.912,3.164,174.384,33.430,14.310
2010-07-10,991.861,26.893,15.946,53.215,36.995,18.210,18.785,11.501,18.361,1143.946,1.665,2.718,130.430,33.350,18.860
2010-07-11,989.628,27.641,16.241,52.955,38.409,18.558,19.851,11.748,18.752,1138.281,1.842,3.212,183.833,34.920,19.760
2010-07-12,986.540,26.165,17.780,62.564,35.126,20.408,14.717,12.968,20.686,1139.478,1.987,3.467,180.141,33.450,18.080
2010-07-13,985.528,22.602,16.570,70.842,27.984,18.892,9.092,12.011,19.170,1152.538,1.481,2.636,161.337,28.210,17.750
2010-07-14,983.423,25.206,15.636,59.773,33.658,17.817,15.842,11.347,18.117,1140.783,1.890,3.286,176.132,33.440,16.310
2010-07-15,987.485,22.040,14.805,66.172,26.867,16.985,9.882,10.773,17.204,1157.813,2.735,4.438,211.038,26.420,18.270
2010-07-16,989.446,24.956,14.901,57.067,33.455,17.003,16.452,10.759,17.184,1149.221,1.680,2.924,198.256,33.700,14.960
2010-07-17,991.836,20.438,14.363,69.664,24.390,16.418,7.970,10.362,16.554,1169.585,1.628,3.016,204.814,26.570,16.910
2010-07-18,998.973,18.978,10.058,59.862,22.353,12.538,9.814,7.847,12.553,1185.699,1.733,3.114,177.659,25.550,14.240
2010-07-19,997.368,18.564,8.527,55.138,22.333,11.139,11.194,6.976,11.168,1186.354,1.561,2.698,125.677,24.860,10.250
2010-07-20,990.124,20.566,11.038,56.859,25.373,13.268,12.105,8.381,13.405,1168.797,2.019,3.471,124.437,26.960,11.040
2010-07-21,982.980,25.012,13.530,53.263,33.478,15.555,17.923,9.901,15.823,1142.049,1.980,3.393,191.799,33.860,15.080
2010-07-22,986.199,22.311,15.913,69.266,27.525,18.187,9.338,11.550,18.438,1154.782,1.407,2.579,188.320,29.780,18.250
2010-07-23,988.706,17.727,16.313,91.599,20.379,18.601,1.778,11.786,18.813,1175.658,2.154,3.347,184.251,20.240,15.340
2010-07-24,989.490,16.440,10.565,70.718,18.844,13.083,5.760,8.269,13.224,1184.356,2.363,4.318,262.506,19.900,13.010
2010-07-25,988.448,15.599,5.893,54.713,18.225,9.314,8.911,5.882,9.423,1188.450,2.267,3.980,252.400,21.840,9.890
2010-07-26,986.032,15.038,9.847,72.710,17.543,12.251,5.292,7.765,12.425,1186.473,1.382,2.412,184.282,22.510,10.320
2010-07-27,988.655,17.536,12.519,74.158,20.465,14.536,5.928,9.196,14.704,1178.328,1.158,2.100,209.129,23.790,13.030
2010-07-28,987.539,16.254,13.218,82.832,18.685,15.255,3.431,9.666,15.450,1181.822,2.092,3.396,209.458,20.950,12.090
2010-07-29,983.293,14.777,12.118,84.710,16.960,14.175,2.784,9.017,14.416,1183.214,1.619,2.701,193.300,20.120,11.900
2010-07-30,987.866,15.913,10.425,71.994,18.482,12.658,5.825,8.009,12.814,1184.856,1.385,2.402,224.063,22.050,11.100
2010-07-31,990.140,17.908,10.097,64.010,21.557,12.396,9.162,7.824,12.519,1179.851,2.007,3.323,191.687,24.440,9.260
2010-08-01,988.040,20.780,12.273,60.780,25.636,14.321,11.316,9.066,14.495,1164.929,2.236,3.578,194.149,27.580,12.760
2010-08-02,987.399,18.940,15.169,80.103,22.248,17.291,4.957,10.964,17.510,1169.899,1.174,2.167,203.384,23.710,15.870
2010-08-03,986.918,15.606,13.390,87.122,17.821,15.468,2.352,9.809,15.675,1183.571,1.410,2.252,218.569,19.640,11.920
2010-08-04,984.688,16.178,10.449,72.068,19.135,12.698,6.437,8.060,12.895,1180.130,2.231,3.467,196.392,22.140,9.230
2010-08-05,981.447,16.552,12.216,76.934,19.239,14.287,4.952,9.104,14.555,1173.794,1.413,2.467,174.481,22.510,11.440
2010-08-06,987.952,14.069,12.911,92.735,16.083,14.914,1.169,9.444,15.096,1191.382,2.009,3.665,238.065,14.900,13.590
2010-08-07,990.076,17.788,12.130,70.578,20.739,14.189,6.549,8.963,14.332,1179.164,1.835,3.111,221.059,22.420,13.960
2010-08-08,988.726,17.042,11.868,72.845,19.876,13.944,5.931,8.820,14.104,1180.725,1.894,3.061,190.848,22.710,11.890
2010-08-09,990.113,17.072,13.122,78.506,19.723,15.129,4.594,9.559,15.280,1181.644,0.965,1.774,191.787,21.400,13.150
2010-08-10,989.384,18.891,11.660,67.070,22.654,13.785,8.870,8.712,13.931,1174.230,1.317,2.177,184.963,25.640,12.100
2010-08-11,987.794,17.047,13.495,80.399,19.859,15.597,4.261,9.881,15.789,1178.822,1.543,2.483,194.359,23.550,11.960
2010-08-12,986.601,15.394,14.565,94.892,17.600,16.653,0.946,10.567,16.880,1183.527,0.975,1.627,191.892,19.810,13.020
2010-08-13,990.277,16.051,14.224,89.394,18.370,16.261,2.109,10.278,16.421,1185.443,0.954,1.618,162.823,19.810,13.850
2010-08-14,990.483,16.012,13.272,84.386,18.334,15.270,3.064,9.645,15.416,1186.310,1.709,2.817,108.304,19.570,13.760
2010-08-15,985.340,14.986,13.946,93.598,17.138,15.998,1.140,10.162,16.238,1183.980,2.344,3.474,101.209,19.500,13.470
2010-08-16,984.295,14.947,11.373,80.231,17.185,13.479,3.705,8.562,13.694,1184.061,2.460,3.767,187.791,19.100,11.930
2010-08-17,981.050,13.507,12.041,90.922,15.552,14.118,1.434,9.001,14.392,1185.724,2.808,4.773,208.196,16.380,11.330
2010-08-18,981.638,15.740,12.024,79.036,18.087,14.090,3.996,8.977,14.354,1177.335,3.300,5.195,196.837,19.540,11.830
2010-08-19,988.970,16.076,10.107,70.564,18.602,12.454,6.149,7.873,12.596,1185.569,1.729,3.008,232.723,21.500,11.560
2010-08-20,994.888,17.464,10.259,66.533,21.219,12.551,8.668,7.885,12.615,1187.362,1.365,2.340,190.363,26.920,8.430
2010-08-21,995.824,20.635,13.983,68.947,25.892,16.111,9.781,10.127,16.180,1174.109,1.740,2.857,194.983,28.790,11.430
2010-08-22,989.977,21.354,16.296,75.624,26.545,18.590,7.955,11.766,18.781,1163.034,2.154,3.638,211.735,29.390,15.220
2010-08-23,980.368,18.988,16.269,85.128,22.302,18.554,3.747,11.859,18.929,1160.784,3.026,4.482,197.770,23.180,14.820
2010-08-24,981.589,17.594,11.900,71.343,20.382,14.211,6.171,9.060,14.484,1169.730,2.331,3.852,234.773,22.270,13.190
2010-08-25,989.147,15.327,8.021,62.770,17.681,10.763,6.919,6.796,10.880,1189.623,2.986,4.950,225.521,19.910,11.120
2010-08-26,983.945,17.588,13.829,79.357,20.690,16.011,4.679,10.190,16.279,1171.931,2.284,3.795,206.002,23.820,12.390
2010-08-27,976.107,18.342,15.145,82.215,21.350,17.323,4.027,11.115,17.748,1158.776,3.265,5.524,219.647,22.030,12.830
2010-08-28,986.253,13.338,8.360,73.372,15.490,11.044,4.446,6.996,11.199,1194.206,2.329,4.496,262.977,17.730,9.960
2010-08-29,985.510,11.585,7.981,79.071,13.786,10.736,3.049,6.805,10.896,1200.798,2.833,4.582,213.422,15.490,8.490
2010-08-30,981.316,9.116,6.983,86.705,11.623,10.037,1.587,6.385,10.225,1206.390,1.784,3.245,229.869,11.510,6.760
2010-08-31,991.645,12.211,7.225,73.850,14.417,10.257,4.162,6.460,10.344,1205.875,1.939,4.012,202.978,16.680,9.270
2010-09-01,992.141,11.763,9.211,84.490,13.914,11.703,2.212,7.370,11.796,1207.684,1.806,2.953,231.025,16.060,8.820
2010-09-02,991.787,12.751,9.591,81.606,14.859,11.966,2.894,7.538,12.064,1202.960,1.138,2.193,223.080,15.960,9.830
2010-09-03,993.350,13.184,8.558,74.986,15.333,11.183,4.149,7.033,11.259,1203.419,1.290,2.210,124.800,17.350,9.840
2010-09-04,993.595,11.093,7.211,78.227,13.370,10.194,3.175,6.407,10.260,1213.040,0.983,1.725,157.061,16.050,6.540
2010-09-05,996.333,10.107,5.906,77.385,12.831,9.334,3.496,5.848,9.369,1221.236,1.781,2.944,116.911,16.290,3.910
2010-09-06,993.755,10.493,5.507,73.875,13.163,9.061,4.102,5.691,9.118,1216.561,2.055,3.556,121.972,16.230,3.990
2010-09-07,984.883,12.327,5.891,66.711,14.766,9.315,5.451,5.905,9.458,1197.758,2.035,3.573,143.221,18.100,4.890
2010-09-08,981.314,13.767,10.189,79.539,15.875,12.504,3.371,7.964,12.742,1185.740,1.860,3.030,157.199,17.540,11.170
2010-09-09,986.422,13.812,11.492,86.404,15.863,13.586,2.277,8.612,13.774,1191.222,2.239,3.610,195.718,16.440,12.010
2010-09-10,994.070,14.476,11.046,81.169,16.747,13.193,3.553,8.297,13.272,1197.999,1.439,2.509,218.233,19.560,10.890
2010-09-11,994.504,14.013,10.279,80.547,16.696,12.586,4.109,7.911,12.657,1200.978,1.278,2.049,192.932,21.470,8.000
2010-09-12,992.559,15.416,11.097,78.083,18.300,13.299,5.001,8.378,13.400,1192.483,1.232,2.058,190.819,23.330,8.570
2010-09-13,996.297,13.586,10.115,80.425,15.670,12.437,3.233,7.802,12.485,1204.705,1.689,3.027,244.967,16.990,9.900
2010-09-14,992.077,12.565,9.973,84.666,14.791,12.323,2.468,7.766,12.425,1204.040,4.149,6.303,197.342,15.890,8.100
2010-09-15,983.042,14.119,9.021,72.062,16.240,11.549,4.691,7.340,11.748,1186.817,3.777,6.033,222.312,16.990,10.300
2010-09-16,982.652,12.477,7.313,71.360,14.564,10.283,4.282,6.534,10.463,1193.727,3.187,5.296,219.764,15.420,10.120
2010-09-17,985.131,11.312,7.210,76.544,13.473,10.205,3.268,6.470,10.360,1201.682,2.243,3.840,237.689,14.600,8.930
2010-09-18,990.258,9.280,4.556,73.483,11.846,8.469,3.376,5.337,8.552,1217.518,1.735,3.014,225.720,13.400,4.990
2010-09-19,991.373,9.432,4.598,73.932,12.136,8.492,3.644,5.346,8.567,1218.340,1.462,2.561,212.392,14.910,4.060
2010-09-20,990.790,11.100,5.749,72.033,13.652,9.210,4.442,5.802,9.296,1210.198,2.388,3.710,188.554,17.820,6.170
2010-09-21,994.032,12.727,8.311,76.712,15.498,11.063,4.435,6.951,11.127,1206.556,1.126,2.041,184.842,20.680,5.140
2010-09-22,995.286,13.080,8.895,79.382,16.034,11.484,4.551,7.209,11.539,1206.519,1.021,1.739,183.000,22.270,6.250
2010-09-23,987.691,14.346,9.716,76.950,17.412,12.146,5.267,7.688,12.301,1191.745,1.900,2.935,183.363,22.820,6.180
2010-09-24,976.828,16.234,12.118,78.197,18.976,14.185,4.790,9.084,14.523,1169.643,1.633,2.804,189.227,22.260,11.360
2010-09-25,976.850,10.467,9.042,90.967,12.783,11.582,1.201,7.410,11.858,1194.500,1.479,2.749,188.648,13.440,7.380
2010-09-26,980.884,9.055,5.870,80.982,11.592,9.287,2.305,5.911,9.469,1206.480,1.866,3.046,256.042,12.130,7.240
2010-09-27,981.776,8.311,6.677,89.535,10.972,9.812,1.160,6.240,9.993,1210.499,2.041,4.106,224.726,9.270,7.750
2010-09-28,986.864,9.217,8.371,94.470,11.684,11.024,0.659,6.978,11.171,1212.337,1.978,3.347,200.218,11.080,8.110
2010-09-29,993.024,8.228,6.214,87.471,10.921,9.507,1.414,5.976,9.574,1224.930,1.347,2.208,106.306,10.390,7.150
2010-09-30,991.837,8.501,5.022,79.975,11.193,8.759,2.434,5.510,8.830,1222.679,1.006,1.704,141.519,12.130,5.960
2010-10-01,988.795,9.954,6.922,81.669,12.371,10.011,2.360,6.322,10.125,1212.095,1.691,2.632,165.090,13.370,6.930
2010-10-02,988.949,11.336,9.107,86.208,13.489,11.601,1.888,7.329,11.730,1205.609,2.326,3.583,179.619,13.100,9.260
2010-10-03,986.285,13.297,9.825,80.314,15.598,12.190,3.408,7.724,12.359,1193.975,3.243,4.953,181.735,19.450,9.540
2010-10-04,981.210,11.158,7.788,80.416,13.457,10.595,2.860,6.744,10.799,1197.425,3.041,4.677,179.348,15.640,7.560
2010-10-05,982.251,12.667,9.921,83.939,15.030,12.364,2.665,7.866,12.585,1191.632,1.888,2.928,184.569,18.030,6.810
2010-10-06,988.489,13.679,11.082,84.792,15.835,13.236,2.599,8.372,13.391,1194.502,2.536,3.824,182.206,18.010,10.910
2010-10-07,995.104,12.328,10.155,86.918,14.499,12.458,2.041,7.824,12.518,1208.585,1.433,2.269,171.338,15.530,8.540
2010-10-08,995.851,12.215,7.858,76.222,14.430,10.652,3.777,6.680,10.697,1210.832,1.651,2.744,151.222,16.580,7.820
2010-10-09,994.611,10.291,4.453,70.344,13.009,8.418,4.591,5.282,8.463,1218.762,1.853,2.937,107.715,17.750,3.580
2010-10-10,990.492,6.611,2.995,79.779,10.061,7.596,2.464,4.784,7.669,1229.990,1.614,2.548,100.000,13.330,1.640
2010-10-11,990.419,5.423,1.951,80.917,9.353,7.070,2.282,4.452,7.139,1235.453,1.616,2.558,106.961,12.990,-0.570
2010-10-12,991.402,3.726,2.698,93.078,7.987,7.423,0.564,4.670,7.487,1243.800,1.554,2.501,62.418,4.700,2.740
2010-10-13,990.769,4.895,2.112,82.526,8.721,7.123,1.597,4.484,7.189,1237.963,1.562,2.651,97.683,8.960,1.880
2010-10-14,988.602,6.082,3.225,82.843,9.580,7.726,1.855,4.875,7.815,1229.802,1.517,2.494,208.014,11.400,1.730
2010-10-15,985.644,8.216,6.150,87.007,10.919,9.461,1.457,5.993,9.599,1215.874,1.568,2.572,235.990,10.430,6.970
2010-10-16,983.573,6.099,5.636,96.857,9.454,9.155,0.300,5.811,9.309,1222.680,2.238,3.326,95.707,7.970,3.980
2010-10-17,992.868,5.205,3.332,88.336,8.884,7.777,1.105,4.888,7.834,1238.868,2.924,4.433,34.757,8.140,2.910
2010-10-18,993.628,2.036,-0.336,85.923,7.227,5.968,1.259,3.744,6.006,1255.100,1.117,1.854,178.728,8.780,-1.620
2010-10-19,981.425,3.489,1.805,89.171,7.945,6.996,0.948,4.448,7.131,1232.622,3.523,5.280,186.487,6.320,-1.310
2010-10-20,980.283,4.957,2.801,86.069,8.737,7.505,1.232,4.777,7.659,1224.362,1.744,3.398,221.259,7.780,2.570
2010-10-21,993.505,4.310,-0.749,70.081,8.370,5.783,2.586,3.629,5.821,1244.629,3.461,6.176,230.834,7.530,1.870
2010-10-22,993.397,4.114,-0.418,72.663,8.320,5.948,2.373,3.733,5.987,1245.370,3.457,5.288,201.208,8.360,0.360
2010-10-23,984.657,5.057,0.553,74.397,9.167,6.437,2.730,4.080,6.542,1230.308,3.793,5.885,194.915,10.170,-2.060
2010-10-24,980.762,7.406,2.062,69.192,10.382,7.116,3.265,4.527,7.259,1214.482,3.882,6.421,226.301,10.050,2.600
2010-10-25,992.877,3.891,0.608,79.715,8.167,6.392,1.774,4.015,6.438,1245.463,1.663,3.024,223.369,7.890,0.250
2010-10-26,1000.172,3.963,1.485,84.281,8.206,6.822,1.384,4.254,6.820,1254.115,1.950,3.303,231.631,7.340,-0.710
2010-10-27,998.216,5.072,0.858,76.538,9.014,6.512,2.502,4.068,6.524,1246.974,2.448,3.714,195.036,9.470,-0.200
2010-10-28,993.688,8.642,2.196,64.621,11.380,7.211,4.170,4.526,7.256,1225.131,2.470,4.035,204.045,13.950,3.900
2010-10-29,988.126,7.634,3.532,77.120,10.979,7.935,3.044,5.013,8.033,1222.599,2.005,3.225,182.778,15.790,0.420
2010-10-30,980.543,9.165,4.351,72.578,11.831,8.362,3.469,5.322,8.527,1206.128,2.103,3.161,176.126,14.200,4.400
2010-10-31,978.331,8.575,4.110,74.550,11.384,8.214,3.169,5.240,8.396,1205.998,1.187,2.010,183.568,14.990,4.050
2010-11-01,982.032,7.377,4.754,83.879,10.395,8.591,1.804,5.459,8.748,1215.489,1.012,1.672,116.514,11.490,4.230
2010-11-02,987.949,6.488,4.605,87.920,9.705,8.497,1.209,5.366,8.600,1226.719,1.713,2.786,191.243,9.620,5.410
2010-11-03,987.735,10.405,6.739,78.158,12.721,9.877,2.843,6.243,9.999,1208.903,4.515,7.021,197.315,13.010,5.910
2010-11-04,991.417,14.463,9.755,73.562,16.571,12.111,4.461,7.633,12.215,1195.262,6.116,9.192,212.693,17.150,11.450
2010-11-05,992.964,13.147,8.058,71.303,15.159,10.795,4.362,6.790,10.872,1203.217,4.814,7.657,212.912,14.760,12.020
2010-11-06,985.527,9.661,7.014,83.919,12.156,10.074,2.082,6.383,10.221,1209.306,3.889,5.920,228.874,12.710,5.940
2010-11-07,977.446,4.067,3.463,95.828,8.202,7.866,0.336,5.020,8.046,1224.524,3.340,4.832,50.320,5.840,1.710
2010-11-08,962.732,2.044,0.869,91.951,7.090,6.507,0.581,4.215,6.760,1215.560,1.627,2.512,92.011,3.430,0.810
2010-11-09,956.229,3.761,1.919,88.180,8.097,7.038,1.059,4.591,7.360,1199.654,1.398,2.255,167.304,7.780,0.620
2010-11-10,964.114,5.032,3.011,87.456,8.929,7.631,1.297,4.937,7.913,1203.797,2.298,3.439,194.900,9.500,-0.040
2010-11-11,976.808,4.555,0.458,75.489,8.500,6.337,2.163,4.046,6.489,1222.343,4.882,7.867,213.518,7.370,2.230
2010-11-12,967.841,9.290,4.123,70.453,11.750,8.243,3.508,5.314,8.516,1189.858,4.551,7.985,211.369,11.820,6.980
2010-11-13,971.333,13.690,9.514,75.937,15.711,11.904,3.806,7.659,12.256,1174.162,6.706,10.119,209.714,15.400,11.150
